times (ms),x-accel,y-accel,z-accel
19339.28894,0.085571,-1.002472,-0.106659
19339.3161,0.042648,-0.998749,-0.120621
19339.343249999998,0.067596,-0.997543,-0.130157
19339.37041,0.08226,-0.993469,-0.141449
19339.39756,0.064041,-1.002228,-0.142166
19339.42475,0.055832,-1.001266,-0.134171
19339.45191,0.054123,-0.997498,-0.134552
19339.47905,0.056732,-0.997375,-0.141647
19339.506200000003,0.054977,-0.999023,-0.137711
19339.53335,0.062317,-1.000046,-0.137833
19339.56054,0.059891,-1.004349,-0.126282
19339.587689999997,0.055435,-1.002411,-0.13797
19339.61483,0.05629,-0.999847,-0.136963
19339.64198,0.055832,-0.990158,-0.144348
19339.669130000006,0.054672,-0.996658,-0.134354
19339.69631,0.053314,-0.996887,-0.145981
19339.72346,0.064728,-0.999008,-0.136185
19339.75061,0.054276,-0.995712,-0.138596
19339.777750000005,0.054199,-0.999237,-0.135574
19339.80491,0.062637,-1.000824,-0.145416
19339.832089999996,0.05217,-0.998734,-0.137283
19339.85924,0.053192,-0.997604,-0.143967
19339.88639,0.053116,-0.995026,-0.141983
19339.913539999998,0.054276,-1.003448,-0.138031
19339.94069,0.053528,-0.997177,-0.147919
19339.967880000004,0.051071,-1.001068,-0.142456
19339.995030000002,0.053787,-0.998352,-0.143173
19340.02218,0.054016,-1.003815,-0.143539
19340.04933,0.05307,-1.000122,-0.14743
19340.07649,0.04538,-1.007904,-0.145813
19340.10367,0.053482,-0.998901,-0.157028
19340.13082,0.053772,-1.003845,-0.149857
19340.15797,0.051193,-0.995361,-0.143677
19340.18512,0.053726,-0.992767,-0.143112
19340.212270000004,0.053589,-0.998169,-0.136581
19340.23945,0.053574,-0.997665,-0.135086
19340.266609999995,0.053497,-0.99585,-0.133881
19340.29376,0.037338,-0.998917,-0.149445
19340.320919999995,0.040451,-1.005325,-0.143112
19340.34807,0.052002,-1.001236,-0.154663
19340.37526,0.052673,-0.989182,-0.156616
19340.40241,0.041733,-1.004852,-0.147415
19340.42956,0.045959,-0.997086,-0.154724
19340.45672,0.045593,-1.00386,-0.134048
19340.48387,0.044617,-0.999619,-0.156509
19340.51106,0.046432,-0.994125,-0.16684
19340.538210000002,0.049377,-1.004837,-0.169022
19340.56536,0.054855,-1.017609,-0.177719
19340.592510000002,0.051544,-0.935394,-0.379227
19340.61967,0.059464,-0.970154,-0.124847
19340.64686,0.087357,-1.043503,0.064011
19340.67401,0.051666,-1.021957,0.096207
19340.701159999982,-0.019882,-1.017578,-0.007797
19340.728309999995,0.046143,-1.015808,-0.031845
19340.75546,0.072586,-1.001587,-0.06868
19340.78264,0.055679,-1.00322,-0.077621
19340.809790000003,0.041489,-1.015213,-0.061096
19340.83694,0.034378,-1.014801,-0.024689
19340.86409,0.039642,-1.005249,-0.028748
19340.89123,0.040009,-1.011703,-0.037155
19340.91842,0.033783,-1.016556,-0.032135
19340.94557,0.041962,-1.022217,-0.008392
19340.972720000005,0.046448,-1.004944,0.006393
19340.999869999996,-0.002792,-1.026703,0.001251
19341.027019999998,-0.013092,-1.043839,0.011047
19341.054209999995,0.020813,-1.029419,0.02005
19341.08136,0.117447,-1.035385,0.098618
19341.108509999995,0.376694,-1.09935,0.203522
19341.135660000004,0.392395,-1.063614,0.320953
19341.16281000001,0.053589,-1.040314,0.159485
19341.190000000002,-0.154068,-0.908325,0.133011
19341.21715,-0.192337,-0.833221,0.062302
19341.2443,-0.193893,-0.801865,0.066269
19341.27145,-0.20224,-0.863892,0.084259
19341.298609999998,-0.116821,-1.025986,0.088806
19341.3258,-0.036346,-1.065369,0.02359
19341.352949999997,0.022034,-1.02832,0.001282
19341.3801,-0.012772,-1.139587,0.042419
19341.40725,-0.179565,-1.023163,-0.150421
19341.4344,-0.169968,-1.099609,-0.04567
19341.46145,0.008575,-1.0905,0.170227
19341.4886,0.202774,-0.963272,0.297989
19341.51575,0.274963,-0.900574,0.249603
19341.54291,0.085815,-0.740875,0.193115
19341.57006,0.078537,-0.827942,0.079498
19341.59725,-0.555573,-1.056747,-0.126282
19341.6244,-0.579559,-1.177002,-0.321793
19341.65155,-0.295059,-1.087631,-0.12442
19341.678700000004,-0.027069,-1.086716,0.231476
19341.70585,-0.193069,-1.030304,0.331238
19341.73303,-0.327286,-0.988144,0.037445
19341.76019,-0.121567,-0.996628,-0.046585
19341.78734,0.102295,-1.00174,0.080856
19341.81449,-0.025162,-1.011459,0.086609
19341.84164,-0.190247,-0.992737,-0.019348
19341.868820000003,-0.099304,-1.034515,0.071457
19341.895969999998,-0.03598,-1.021103,0.131165
19341.923130000003,-0.09671,-1.008484,0.05014
19341.950279999997,-0.084366,-1.000717,-0.001953
19341.97743,-0.030792,-1.024231,0.010513
19342.00462,-0.017548,-0.991806,0.1026
19342.03177,-0.044037,-1.014221,0.081055
19342.05892,-3.05E-4,-0.994751,0.067307
19342.08607,-0.01947,-1.004807,7.93E-4
19342.11322,-0.030197,-0.994263,-0.027115
19342.140399999986,0.024887,-0.963943,-0.005814
19342.16755,0.022354,-1.006531,0.004227
19342.1947,-0.010666,-0.999084,0.03183
19342.22185,0.002548,-0.985748,0.04982
19342.24899,-0.027496,-1.03688,-0.008163
19342.27618,0.017456,-0.994476,0.052109
19342.30333,-0.004532,-1.026611,-0.007126
19342.330479999997,-0.028305,-1.036819,-0.029099
19342.35763,-0.0979,-1.067627,0.078079
19342.38478,-0.042572,-0.983475,0.008148
19342.41197,0.026596,-0.99408,-0.053513
19342.43910999999,-0.002869,-1.009537,0.011963
19342.46626,-0.040283,-0.993484,0.001053
19342.49341,0.03447,-1.006668,0.012085
19342.52056,0.033783,-0.991638,0.00325
19342.54775,-0.005432,-0.955292,-0.077576
19342.5749,0.100159,-1.061371,0.034012
19342.60205,0.034149,-1.01889,0.107117
19342.6292,-0.081039,-1.029282,-0.046173
19342.65635,0.057419,-1.009689,-0.002457
19342.68354,0.02594,-0.999786,-0.051376
19342.71069,0.033707,-1.022018,0.034897
19342.73784,0.036255,-1.006607,-5.95E-4
19342.76499,0.032257,-1.008209,-0.04805
19342.79214,0.047562,-0.994949,-0.013229
19342.81933,0.060089,-1.014053,0.036484
19342.84648,0.084045,-1.007843,0.046692
19342.87363,0.093674,-1.006393,0.022614
19342.90079,0.079514,-1.022232,0.033173
19342.92794,0.05191,-1.001511,0.028061
19342.95512999999,0.053055,-1.003601,-0.009109
19342.98228,0.090073,-1.016632,0.02597
19343.00943,0.090164,-0.99826,0.041153
19343.03658,0.080246,-1.012131,0.025757
19343.06373,0.055679,-1.016373,0.004288
19343.09092,0.073105,-1.024338,0.027527
19343.11807,0.151566,-1.016388,0.118988
19343.14521,0.163315,-1.030167,0.119415
19343.17236,0.176483,-1.037231,0.123322
19343.19951,0.169373,-1.036331,0.139481
19343.2267,0.19429,-1.048096,0.210358
19343.253850000005,0.187714,-1.068024,0.118713
19343.281000000006,0.188629,-1.10527,0.100067
19343.30815,0.172684,-1.126282,0.20665
19343.335299999995,0.165985,-1.114441,0.407379
19343.362489999996,0.0793,-1.287888,0.154724
19343.38963,0.065521,-1.348984,0.151062
19343.41679,0.144653,-1.23912,0.077194
19343.44393,0.666794,-1.358139,0.353745
19343.471079999992,0.623932,-1.191269,0.05191
19343.498269999985,0.512482,-0.687668,0.182129
19343.52541,0.230286,-0.573853,0.05838
19343.55256,-0.010284,-0.572449,-0.228729
19343.5797,-0.14238,-0.334335,0.016266
19343.60685,0.025177,-0.46553,0.239944
19343.63404,0.327911,-0.796249,0.06485
19343.66119,0.270676,-0.614883,0.055618
