time (ms),x-accel,y-accel,z-accel
87096.04312,-0.052948,-0.426331,-0.967941
87096.08005,0.055359,-0.464203,-0.860336
87096.10531,0.007965,-0.45787,-0.912415
87096.13056,-0.013977,-0.429153,-0.899902
87096.1558,-0.047592,-0.431366,-0.875992
87096.18107,-0.081863,-0.387405,-0.968307
87096.20632,-0.026566,-0.365067,-0.978516
87096.23158,0.199844,-0.480103,-1.009781
87096.25683,0.133682,-0.39917,-0.965271
87096.28207,-0.013779,-0.457397,-0.822937
87096.30734,-0.048706,-0.531799,-0.762726
87096.33258,0.059052,-0.441422,-0.731369
87096.35785,0.127365,-0.421387,-0.704926
87096.38309,0.252213,-0.43454,-0.856934
87096.40833,0.077393,-0.304932,-0.914993
87096.4336,0.047653,-0.36113,-0.832077
87096.45884,0.014023,-0.321671,-0.841995
87096.4841,0.003143,-0.268311,-0.816132
87096.50935,0.067612,-0.302017,-0.797089
87096.5346,0.078766,-0.298172,-0.872681
87096.55986,0.003815,-0.212173,-0.911118
87096.5851,-0.021301,-0.1436,-0.803848
87096.61037,0.043198,-0.094833,-0.702255
87096.63562,0.133041,-0.036346,-0.783478
87096.66087,0.082199,-0.053009,-0.876404
87096.68613,0.241455,0.008896,-0.944611
87096.71137,0.161224,0.061615,-0.821075
87096.73664,0.116806,0.136993,-0.497864
87096.76189,0.145279,0.245987,-0.279587
87096.78713,0.392258,0.415573,-0.224167
87096.8124,0.418106,0.491837,-0.540375
87096.83764,0.37352,0.710251,-0.716492
87096.86291,0.685471,0.729218,-1.044754
87096.88816,1.087967,0.573822,-1.377991
87096.91341,1.413696,0.459763,-1.591568
87096.93867,1.44548,0.313202,-1.538422
87096.96393,1.532578,0.111069,-1.370529
87096.98919,1.786987,-0.168121,-1.169556
87097.01444,1.887527,-0.413635,-0.894714
87097.03969,1.826813,-0.424316,-0.776382
87097.06495,1.512421,-0.404144,-0.537125
87097.09019,1.440704,-0.500687,-0.29866
87097.11546,1.515884,-0.536133,-0.058609
87097.1407,1.325317,-0.380661,-0.182877
87097.16595,1.063705,-0.258316,-0.09671
87097.19121,0.991409,0.143173,0.275391
87097.21646,0.691956,0.67688,0.293671
87097.24172,0.551743,-0.129776,0.082062
