time (ms),x-accel,y-accel,z-accel
86972.33776,0.010925,-0.97522,-0.244003
86972.363,0.008759,-0.961548,-0.244843
86972.38824,0.039658,-0.978683,-0.265884
86972.41351,0.046768,-0.983917,-0.248566
86972.43875,0.044235,-0.990189,-0.232452
86972.46402,0.018143,-0.972687,-0.233353
86972.48926,0.020508,-0.974884,-0.229691
86972.51451,0.033264,-0.972427,-0.231171
86972.53977,0.051559,-0.981628,-0.230362
86972.56501,0.035614,-0.973145,-0.246933
86972.59027,0.046707,-0.973038,-0.235321
86972.61551,0.039322,-0.98172,-0.236893
86972.64076,0.035324,-0.989243,-0.230972
86972.66602,0.032349,-0.986389,-0.236969
86972.69126,0.034668,-0.983154,-0.227951
86972.71652,0.042953,-0.97818,-0.221375
86972.74176,0.030899,-0.977448,-0.233536
86972.767,0.020447,-0.980911,-0.241837
86972.79226,0.038208,-0.976807,-0.241486
86972.8175,0.019211,-0.982864,-0.227142
86972.84276,0.038849,-0.978607,-0.231125
86972.86801,0.006805,-0.982498,-0.235703
86972.89324,0.027191,-0.972702,-0.230347
86972.91851,0.028091,-0.979996,-0.24028
86972.94375,0.038559,-0.972641,-0.2276
86972.96901,0.048676,-0.981903,-0.233093
86972.99425,0.040604,-0.988602,-0.236847
86973.0195,0.050919,-0.976578,-0.236359
86973.04476,0.044846,-0.979996,-0.22438
86973.07,0.050766,-0.990952,-0.230225
86973.09526,0.052139,-0.997238,-0.240509
86973.1205,0.043732,-1.017624,-0.211914
86973.14574,0.047806,-0.929184,-0.243286
86973.171,0.045837,-0.990204,-0.213348
86973.19624,0.103622,-0.968796,-0.277786
86973.2215,-0.033157,-0.982849,-0.215302
86973.24658,0.000198,-0.972687,-0.231094
86973.27182,0.04184,-0.986191,-0.235992
86973.29708,0.016006,-0.977661,-0.233063
86973.32232,0.011322,-0.974655,-0.242996
86973.34758,-0.017441,-0.967331,-0.255417
86973.37282,-0.055374,-0.975403,-0.248642
86973.39805,-0.070938,-0.980011,-0.221359
86973.42331,-0.081314,-0.971115,-0.242691
86973.44855,-0.134216,-0.979111,-0.227951
86973.47381,-0.150269,-0.964813,-0.234314
86973.49905,-0.085785,-0.964722,-0.241806
86973.52428,-0.116882,-0.982788,-0.212494
86973.54955,-0.15036,-0.969818,-0.198074
86973.57479,-0.130249,-0.976318,-0.206284
86973.60005,-0.083511,-0.983337,-0.173553
86973.62529,-0.077637,-1.005112,-0.122986
86973.65053,-0.055405,-0.979889,-0.150513
86973.67579,-0.055099,-1.000595,-0.108292
86973.70103,-0.097824,-0.989944,-0.063324
86973.72629,-0.037689,-1.010529,-0.076263
86973.75153,-0.074432,-1.013916,-0.070511
86973.77677,-0.128235,-1.003998,-0.074982
86973.80204,-0.12764,-0.992004,-0.120407
86973.82727,-0.146164,-1.016663,-0.059128
86973.85254,-0.181427,-0.9841,-0.016693
86973.87778,-0.177338,-0.97583,-0.044586
86973.90302,-0.159653,-1.004242,-0.068146
86973.92828,-0.093079,-1.018509,-0.099762
86973.95352,-0.078018,-1.028885,-0.084106
86973.97878,-0.060562,-1.022629,-0.104843
86974.00402,-0.219421,-0.984055,-0.08725
86974.02926,-0.201813,-0.995178,-0.052872
86974.05452,-0.127563,-1.002808,-0.060349
86974.07976,-0.021652,-1.011093,-0.09697
86974.10503,-0.033646,-1.018112,-0.127945
86974.13027,-0.043304,-1.014816,-0.129456
86974.15551,-0.086472,-1.015228,-0.076202
86974.18078,-0.1828,-1.024704,-0.023651
86974.20602,-0.132965,-1.00531,-0.03627
86974.23128,-0.039124,-1.043396,-0.057312
86974.25653,-0.01619,-1.012894,-0.059647
86974.28177,0.119171,-0.937469,0.134811
86974.30703,0.112946,-1.005707,0.061218
86974.33228,0.086487,-0.988785,0.09729
86974.35755,0.02771,-1.000259,-0.003922
86974.38279,-0.049072,-0.964767,0.015366
86974.40803,-0.09166,-0.896759,0.008972
86974.43329,-0.076889,-0.917633,-0.077042
86974.45854,-0.007019,-0.905777,-0.053543
86974.4838,-0.071671,-0.891983,-0.035019
86974.50904,-0.030563,-1.027679,-0.198242
86974.53428,0.127884,-1.039429,-0.100784
86974.55955,0.023071,-1.083328,0.009995
86974.58479,-0.040771,-1.07338,0.060745
86974.61006,-0.091492,-1.057968,0.128845
86974.6353,-0.063904,-0.998611,0.096909
86974.66054,0.009003,-1.002151,0.089737
86974.68581,0.082062,-1.033585,0.066498
86974.71105,0.043869,-1.000519,0.050705
86974.73632,-0.024384,-1.018158,0.10141
86974.76156,0.101135,-1.009155,0.121124
86974.78681,0.147293,-1.03804,0.139618
86974.81206,0.034393,-1.000259,0.141785
86974.83731,-0.002762,-0.981476,0.156967
86974.86258,0.047638,-0.991409,0.157349
86974.88782,0.1073,-0.999039,0.142212
86974.91306,0.074249,-0.988815,0.160797
86974.93833,0.059067,-0.986069,0.141312
86974.96357,0.049637,-1.01062,0.165787
86974.98883,0.047134,-0.992065,0.17601
86975.01407,0.026688,-0.978973,0.186508
86975.03931,-0.013138,-0.978989,0.195572
86975.06458,0.020432,-0.960114,0.194687
86975.08981,-0.004196,-0.969223,0.217712
86975.11508,-0.048676,-0.992599,0.188904
86975.14032,0.023087,-1.012695,0.195465
86975.16556,-0.004883,-0.994049,0.192108
86975.19083,-0.025467,-1.000809,0.228302
86975.21607,-0.001556,-0.989868,0.229263
86975.24134,-0.044769,-0.988998,0.202942
86975.26658,-0.063812,-0.999908,0.147873
86975.29181,-0.063583,-0.986679,0.151566
86975.31708,-0.046265,-0.981201,0.17688
86975.34232,-0.085098,-1.015671,0.200089
86975.36758,-0.023834,-0.964813,0.150772
86975.39282,-0.084488,-1.005478,0.201813
86975.41806,-0.105728,-0.983459,0.177872
86975.44332,-0.082947,-1.01387,0.204971
86975.46856,-0.14827,-0.981247,0.189194
86975.49382,-0.039612,-0.990112,0.143311
86975.51906,-0.002411,-0.998688,0.148346
86975.5443,-0.012726,-0.970718,0.156693
86975.56956,-0.039871,-0.967468,0.182999
86975.5948,0.003845,-0.977264,0.183365
86975.62006,0.045181,-1.001328,0.182999
86975.6453,0.052612,-1.011261,0.171585
86975.67054,0.01506,-1.00148,0.159805
86975.69581,0.033844,-0.989609,0.157837
86975.72105,0.001694,-0.985519,0.18338
86975.74631,0.020737,-0.981384,0.188522
86975.77155,-0.052017,-0.980927,0.191803
86975.79679,-0.000946,-0.981277,0.167404
86975.82205,0.0009,-1.005981,0.170593
86975.84729,-0.018387,-0.983368,0.171173
86975.87256,-0.011215,-0.984055,0.163376
86975.89779,-0.029175,-0.990067,0.170319
86975.92303,-0.044144,-0.983719,0.16391
86975.94829,-0.001358,-1.018173,0.166351
86975.97353,-0.011734,-0.988235,0.155991
86975.99879,-0.042099,-1.018707,0.135162
86976.02403,-0.027786,-1.011856,0.160049
86976.04926,0.019669,-1.022232,0.209564
86976.07453,0.053558,-1.012497,0.158737
86976.09977,0.10614,-1.039429,0.166412
86976.12503,0.15065,-1.045197,0.135818
86976.15027,0.140656,-1.097443,0.127487
86976.17551,-0.113098,-1.150589,0.18956
86976.20077,-0.092545,-1.086563,0.23053
86976.22601,0.238861,-0.940384,0.170944
86976.25127,-0.226791,-1.050369,-0.088593
