time (ms),x-accel,y-accel,z-accel
86557.22302,-0.369247,-0.261154,-0.86969
86557.24829,-0.336807,-0.292252,-0.903244
86557.27354,-0.364517,-0.314041,-0.884689
86557.29879,-0.387665,-0.314774,-0.857254
86557.32406,-0.360291,-0.324005,-0.862534
86557.34931,-0.364792,-0.32106,-0.866196
86557.37458,-0.380447,-0.314041,-0.859558
86557.39983,-0.372513,-0.301071,-0.858368
86557.42508,-0.35759,-0.28479,-0.858521
86557.45035,-0.353149,-0.2724,-0.862854
86557.4756,-0.359329,-0.269958,-0.867371
86557.50087,-0.34697,-0.26355,-0.857819
86557.52612,-0.345642,-0.277847,-0.863129
86557.55136,-0.349609,-0.301086,-0.87178
86557.57663,-0.334534,-0.312393,-0.873657
86557.60188,-0.317413,-0.315887,-0.871033
86557.62715,-0.325714,-0.291016,-0.898666
86557.65239,-0.332092,-0.264664,-0.901749
86557.67764,-0.322174,-0.253326,-0.883209
86557.70291,-0.31424,-0.250824,-0.860641
86557.72816,-0.334076,-0.24292,-0.827286
86557.75342,-0.372925,-0.23024,-0.791046
86557.77867,-0.38855,-0.213409,-0.763855
86557.80392,-0.38475,-0.189087,-0.756546
86557.82919,-0.360001,-0.143433,-0.772476
86557.85443,-0.326965,-0.123795,-0.762299
86557.8797,-0.367203,-0.091614,-0.800934
86557.90495,-0.397903,-0.043564,-0.816666
86557.9302,-0.428635,0.004852,-0.820618
86557.95547,-0.395462,0.018799,-0.799789
86557.98072,-0.423126,0.083923,-0.854294
86558.00598,-0.428802,0.12709,-0.870819
86558.03123,-0.411499,0.113541,-0.826096
86558.05648,-0.415222,0.111298,-0.726944
86558.08175,-0.47879,0.18631,-0.708786
86558.107,-0.597977,0.299301,-0.713699
86558.13226,-0.572662,0.329559,-0.634995
86558.15736,-0.519379,0.357681,-0.508469
86558.18261,-0.464661,0.418259,-0.398849
86558.20788,-0.527084,0.502747,-0.246399
86558.23313,-0.509491,0.64595,-0.076279
86558.2584,-0.757889,0.735733,-0.047958
86558.28365,-0.907532,0.874146,-0.049896
86558.3089,-0.738434,0.897415,0.044998
86558.33417,-0.635025,1.034073,0.129517
86558.35942,-0.7612,1.065292,0.253708
86558.38469,-0.811813,1.024536,0.256073
86558.40994,-0.736359,1.0159,0.184448
86558.43519,-0.751495,1.034424,0.286148
86558.46047,-0.735489,0.994415,0.357513
86558.48571,-0.659622,1.015259,0.406982
86558.51098,-0.649887,0.987473,0.376694
86558.53623,-0.65921,0.917664,0.363632
86558.56148,-0.628952,0.870636,0.38208
86558.58675,-0.635971,0.861389,0.381073
86558.612,-0.648605,0.838531,0.375198
86558.63727,-0.624084,0.82637,0.382828
86558.66252,-0.599731,0.828125,0.378128
86558.68777,-0.574692,0.827301,0.368134
86558.71304,-0.569626,0.813751,0.34462
86558.73829,-0.526443,0.811447,0.328278
86558.76356,-0.502075,0.801422,0.31752
86558.7888,-0.497681,0.797592,0.311691
86558.81405,-0.50209,0.807373,0.30896
86558.83932,-0.477753,0.817383,0.300934
86558.86457,-0.466827,0.817383,0.294449
86558.88985,-0.461304,0.820541,0.284103
86558.9151,-0.455109,0.846069,0.279709
86558.94035,-0.432404,0.820679,0.288177
86558.96562,-0.377213,0.831482,0.304764
86558.99087,-0.35466,0.860153,0.297455
86559.01614,-0.362518,0.894394,0.30098
86559.04139,-0.384064,0.916885,0.321808
86559.06665,-0.396881,0.933929,0.344574
86559.09192,-0.378662,0.960663,0.34407
86559.11717,-0.381927,1.061096,0.343384
86559.14244,-0.39621,1.1371,0.358353
86559.16769,-0.389862,1.107437,0.373825
86559.19294,-0.296249,0.97438,0.343491
86559.21821,-0.197647,0.938156,0.273026
86559.24346,-0.179977,0.937286,0.237
86559.26873,-0.226654,0.944595,0.220947
86559.29398,-0.25473,0.929337,0.239883
86559.31923,-0.213989,0.912903,0.232498
86559.3445,-0.182007,0.897339,0.199051
86559.36975,-0.190231,0.885605,0.182693
86559.39502,-0.218124,0.860352,0.206863
86559.42027,-0.220245,0.843979,0.238312
86559.44552,-0.219238,0.797348,0.235458
86559.4708,-0.233749,0.778168,0.214691
86559.49603,-0.252121,0.793747,0.216171
86559.5213,-0.272003,0.78804,0.235046
86559.54655,-0.279129,0.78157,0.237595
86559.5718,-0.286621,0.815445,0.231735
86559.59707,-0.303711,0.831009,0.232803
86559.62231,-0.324234,0.838928,0.241913
86559.64758,-0.330902,0.859497,0.260803
86559.67283,-0.33316,0.886566,0.278763
86559.69808,-0.342819,0.92485,0.29985
86559.72335,-0.349213,0.956573,0.320526
86559.7486,-0.337006,0.94928,0.334335
86559.77387,-0.316833,0.954453,0.343796
86559.79912,-0.32222,1.081787,0.345245
86559.82436,-0.354965,1.222488,0.339966
86559.84963,-0.373566,1.218918,0.341827
86559.87488,-0.31871,1.049194,0.361389
86559.90015,-0.263687,0.842987,0.370544
86559.9254,-0.144974,0.78006,0.346771
86559.95065,-0.128265,0.852921,0.306366
86559.97592,-0.203949,0.912079,0.293015
86560.00117,-0.252441,0.94664,0.271378
86560.02644,-0.220612,0.927109,0.268585
86560.0517,-0.171799,0.864075,0.2957
86560.07695,-0.172607,0.788742,0.291199
86560.10222,-0.210281,0.754623,0.259293
86560.12747,-0.227829,0.739838,0.241104
86560.15274,-0.258514,0.788483,0.246674
86560.178,-0.280365,0.832169,0.263092
86560.20325,-0.319366,0.868561,0.282089
86560.22852,-0.33403,0.866806,0.308182
86560.25377,-0.344482,0.83197,0.329361
86560.27905,-0.36348,0.806564,0.339981
86560.3043,-0.362076,0.80867,0.341232
86560.32955,-0.390869,0.839096,0.357376
86560.35482,-0.419006,0.880951,0.370636
86560.38007,-0.427856,0.901672,0.37648
86560.40534,-0.429138,0.913788,0.37355
86560.4306,-0.409424,0.962631,0.376495
86560.45585,-0.394455,1.060684,0.374481
86560.48112,-0.40831,1.111404,0.396637
86560.50637,-0.405212,1.062881,0.39769
86560.53164,-0.357941,1.059341,0.372345
86560.55689,-0.324478,1.105087,0.334457
86560.58214,-0.304855,1.14621,0.29686
86560.60741,-0.269897,1.03656,0.256683
86560.63266,-0.207428,0.948013,0.253357
86560.65793,-0.154572,0.91362,0.258011
86560.68318,-0.169128,0.879745,0.237701
86560.70843,-0.18895,0.861023,0.214447
86560.7337,-0.178299,0.825333,0.217056
86560.75895,-0.153732,0.822968,0.227951
86560.78422,-0.291336,0.796265,0.19548
86560.80947,-0.185028,0.796906,0.231796
86560.83472,-0.188232,0.775711,0.226028
86560.85999,-0.202744,0.763901,0.219864
86560.88524,-0.203232,0.777725,0.217621
86560.91051,-0.26976,0.79184,0.216049
86560.93576,-0.237274,0.806,0.225983
86560.96101,-0.228287,0.786636,0.228821
86560.98629,-0.237457,0.795959,0.250671
86561.01153,-0.265854,0.850067,0.286362
86561.0368,-0.292587,0.901764,0.306885
86561.06205,-0.328568,0.924164,0.323059
86561.0873,-0.324539,0.942062,0.331772
86561.11257,-0.303131,0.982086,0.345856
86561.13782,-0.314117,1.145157,0.342209
86561.16308,-0.362762,1.230286,0.321777
86561.18833,-0.39769,1.24678,0.342316
86561.21358,-0.355972,1.051514,0.414261
86561.23885,-0.289673,0.872513,0.437515
86561.2641,-0.198868,0.826889,0.402832
86561.28937,-0.205658,0.845734,0.351257
86561.31462,-0.270279,0.858353,0.33136
86561.33987,-0.269592,0.886612,0.310242
86561.36514,-0.260376,0.87912,0.29686
86561.39039,-0.235336,0.847366,0.312332
86561.41566,-0.202652,0.78241,0.296936
86561.44091,-0.208588,0.744736,0.276917
86561.46616,-0.277939,0.762253,0.303055
86561.49143,-0.310104,0.790939,0.312973
86561.51668,-0.315842,0.796356,0.32959
86561.54195,-0.350128,0.787064,0.354828
86561.5672,-0.372772,0.779724,0.362335
86561.59245,-0.381332,0.791824,0.355118
86561.61772,-0.401764,0.832047,0.35347
86561.64297,-0.410431,0.848526,0.368042
86561.66824,-0.42334,0.823929,0.401215
86561.69348,-0.450195,0.843201,0.438812
86561.71873,-0.46199,0.85022,0.420334
86561.744,-0.47525,0.882645,0.40152
86561.76925,-0.467896,0.99852,0.421448
86561.79452,-0.490417,1.123596,0.509949
86561.81977,-0.49765,1.079254,0.50798
86561.84503,-0.496201,1.112411,0.462601
86561.8703,-0.458969,1.26297,0.439194
86561.89555,-0.366043,1.268341,0.411636
86561.92082,-0.326996,1.115906,0.357254
86561.94607,-0.309082,1.006516,0.315903
86561.9713,-0.264114,0.982681,0.2789
86561.99659,-0.21701,0.962067,0.295578
86562.02184,-0.291428,0.870117,0.253296
86562.04711,-0.258163,0.858948,0.222153
86562.07236,-0.324463,0.817139,0.19545
86562.09761,-0.224701,0.796158,0.206589
86562.12288,-0.212326,0.742233,0.197769
86562.14813,-0.243896,0.740952,0.170517
86562.1734,-0.278931,0.741257,0.17981
86562.19865,-0.265472,0.701889,0.193329
86562.2239,-0.269653,0.68956,0.196945
86562.24917,-0.283112,0.684448,0.203674
86562.27442,-0.276703,0.678162,0.210663
86562.29969,-0.27507,0.736191,0.220306
86562.32494,-0.294586,0.78775,0.241852
86562.35019,-0.323715,0.801361,0.286331
86562.37546,-0.328949,0.797852,0.337662
86562.40071,-0.328262,0.885101,0.344727
86562.42598,-0.355331,1.027054,0.319153
86562.45123,-0.398758,1.109482,0.302795
86562.47648,-0.424576,1.112167,0.342804
86562.50175,-0.404114,1.000153,0.430374
86562.527,-0.382416,0.990814,0.46225
86562.55227,-0.367203,1.02359,0.451035
86562.57752,-0.379181,0.998505,0.420868
86562.60277,-0.387802,0.995667,0.397675
86562.62803,-0.374039,0.977676,0.368713
86562.65328,-0.384842,0.887421,0.363052
86562.67855,-0.390366,0.77739,0.312195
86562.70379,-0.331314,0.721039,0.292694
86562.72904,-0.359573,0.737732,0.289749
86562.75431,-0.420715,0.752457,0.289017
86562.77956,-0.473648,0.764008,0.31868
86562.80483,-0.474426,0.761246,0.351898
86562.83008,-0.465164,0.774384,0.355652
86562.85532,-0.465637,0.794342,0.360855
86562.88059,-0.480515,0.839417,0.384567
86562.90584,-0.480118,0.889191,0.406281
86562.93111,-0.486984,0.891998,0.429443
86562.95636,-0.500076,0.878342,0.427338
86562.98161,-0.484802,0.900497,0.425156
86563.00689,-0.459869,0.916595,0.425339
86563.03214,-0.465027,0.999588,0.437485
86563.05741,-0.502014,1.052719,0.481674
86563.08267,-0.502533,0.999268,0.477478
86563.10792,-0.442978,1.073792,0.410309
86563.13319,-0.370132,1.231979,0.402802
86563.15831,-0.343246,1.169571,0.398285
86563.18358,-0.355179,1.025955,0.332092
86563.20883,-0.312744,0.982941,0.280121
86563.23409,-0.218018,0.996887,0.272263
86563.25936,-0.233017,0.965744,0.227142
86563.28462,-0.22583,0.942902,0.247665
86563.30989,-0.269302,0.911209,0.238831
86563.33514,-0.244843,0.898254,0.222336
86563.3604,-0.202209,0.865097,0.188736
86563.38567,-0.179916,0.828049,0.170563
86563.41093,-0.186523,0.789566,0.165405
86563.4362,-0.18573,0.750824,0.166595
86563.46145,-0.210449,0.705917,0.157974
86563.4867,-0.238098,0.655258,0.166992
86563.51198,-0.229202,0.630035,0.182617
86563.53723,-0.242111,0.687241,0.204926
86563.5625,-0.273941,0.758469,0.229004
86563.58775,-0.316345,0.817993,0.252274
86563.613,-0.321854,0.858612,0.301132
86563.63827,-0.319901,0.921219,0.339661
86563.66352,-0.356842,1.136261,0.351379
86563.68879,-0.416275,1.268265,0.360855
86563.71404,-0.469147,1.255127,0.380524
86563.7393,-0.424515,1.10379,0.430939
86563.76457,-0.370911,0.983459,0.494843
86563.78982,-0.24472,0.862579,0.518066
86563.81508,-0.213715,0.836929,0.451172
86563.84033,-0.286255,0.996658,0.413696
86563.86558,-0.372482,1.039566,0.372986
86563.89085,-0.412491,0.942642,0.321304
86563.9161,-0.399796,0.845261,0.31102
86563.94137,-0.325607,0.815536,0.340576
86563.96663,-0.245651,0.786789,0.337021
86563.99188,-0.295746,0.756653,0.333954
86564.01715,-0.363556,0.753403,0.34407
86564.0424,-0.379303,0.757202,0.351395
86564.06767,-0.363907,0.773605,0.377747
86564.09292,-0.373077,0.770157,0.39769
86564.11817,-0.389603,0.779236,0.394043
86564.14344,-0.399231,0.805161,0.383774
86564.16869,-0.394791,0.79245,0.363586
86564.19396,-0.391037,0.787735,0.366501
86564.21921,-0.401672,0.771866,0.379944
86564.24446,-0.411179,0.773712,0.379639
86564.26973,-0.426895,0.795746,0.396622
86564.29498,-0.424637,0.815872,0.414368
86564.32025,-0.437057,0.991165,0.461426
86564.3455,-0.464355,1.037918,0.509598
86564.37075,-0.500015,1.133957,0.531311
86564.39602,-0.507614,1.40715,0.525589
86564.42127,-0.463303,1.4422,0.449295
86564.44654,-0.386032,1.283112,0.374695
86564.47179,-0.289444,1.17569,0.349945
86564.49704,-0.296555,1.128632,0.333298
86564.52231,-0.258362,1.107635,0.317657
86564.54756,-0.258377,1.014023,0.297211
86564.57283,-0.24617,0.919113,0.320663
86564.59808,-0.303604,0.805908,0.304504
86564.62333,-0.280029,0.827454,0.27182
86564.6486,-0.218491,0.80452,0.222412
86564.67385,-0.187775,0.760605,0.186539
86564.69912,-0.226944,0.758286,0.178833
86564.72436,-0.263443,0.731567,0.159821
86564.74961,-0.274536,0.693634,0.159775
86564.77488,-0.266098,0.639511,0.186462
86564.80013,-0.247925,0.62471,0.233841
86564.8254,-0.258926,0.679291,0.233551
86564.85065,-0.290161,0.725922,0.225571
86564.8759,-0.325424,0.746567,0.242203
86564.90117,-0.321426,0.744156,0.297348
86564.92642,-0.339828,0.884781,0.317093
86564.95169,-0.375885,1.000229,0.297745
86564.97694,-0.438217,1.020233,0.333221
86565.00218,-0.449554,0.979156,0.411728
86565.02745,-0.40564,0.901688,0.460938
86565.0527,-0.353333,0.935669,0.484161
86565.07797,-0.316269,1.069138,0.512878
86565.10322,-0.343674,1.157944,0.511444
86565.12847,-0.418793,1.193054,0.496582
86565.15374,-0.442276,1.17955,0.478531
86565.17899,-0.459412,1.055267,0.445419
86565.20426,-0.431503,0.923279,0.410309
86565.22951,-0.372253,0.845688,0.376846
86565.25476,-0.332245,0.782013,0.337418
86565.28003,-0.346237,0.750992,0.342438
86565.30528,-0.394989,0.726913,0.369324
86565.33055,-0.423584,0.715683,0.380814
86565.3558,-0.441422,0.716461,0.382156
86565.38105,-0.455582,0.732437,0.405823
86565.40632,-0.459778,0.753036,0.453766
86565.43156,-0.449112,0.801483,0.464508
86565.45683,-0.456818,0.840759,0.463516
86565.48208,-0.473297,0.876678,0.472427
86565.50733,-0.477753,0.874191,0.498886
86565.5326,-0.471558,0.886688,0.499771
86565.55784,-0.458557,1.016617,0.511948
86565.58311,-0.452652,1.087204,0.561279
86565.60836,-0.443893,1.067719,0.5625
86565.63361,-0.439865,1.167297,0.520721
86565.65888,-0.393021,1.359161,0.471649
86565.68413,-0.338791,1.307388,0.415848
86565.7094,-0.293625,1.173004,0.409088
86565.73465,-0.263245,1.084244,0.385269
86565.75989,-0.268921,0.992828,0.345444
86565.78516,-0.22905,0.921661,0.373306
86565.81041,-0.314453,0.889389,0.329391
86565.83568,-0.347382,0.890396,0.315247
86565.86093,-0.301483,0.872192,0.324203
86565.88618,-0.238617,0.844971,0.267136
86565.91145,-0.227463,0.812653,0.241898
86565.9367,-0.243866,0.73877,0.227371
86565.96197,-0.237701,0.683472,0.226013
86565.98722,-0.258469,0.656815,0.236923
86566.01247,-0.284515,0.63942,0.235336
86566.03774,-0.303833,0.62149,0.256134
86566.06298,-0.307617,0.638168,0.251816
86566.08825,-0.329681,0.676163,0.251144
86566.1135,-0.351639,0.69162,0.270233
86566.13875,-0.347916,0.686264,0.303284
86566.16402,-0.321915,0.713226,0.345856
86566.18927,-0.364883,0.882385,0.37439
86566.21454,-0.424179,0.948151,0.349136
86566.23978,-0.509583,0.96167,0.375961
86566.26503,-0.529892,0.882812,0.483017
86566.2903,-0.499176,0.94928,0.532425
86566.31554,-0.473923,0.960434,0.536148
86566.34081,-0.481689,0.897766,0.493103
86566.36606,-0.452728,0.888657,0.44014
86566.3913,-0.392899,0.939835,0.382568
86566.41657,-0.35463,0.941452,0.348969
86566.44181,-0.371689,0.87587,0.311493
86566.46708,-0.390305,0.83139,0.296097
86566.49232,-0.408875,0.813965,0.283661
86566.51757,-0.428574,0.818192,0.261002
86566.54284,-0.449677,0.84552,0.269958
86566.56808,-0.464569,0.799225,0.347275
86566.59335,-0.458771,0.745514,0.387558
86566.6186,-0.470169,0.757996,0.367859
86566.64385,-0.480865,0.77301,0.383484
86566.66912,-0.480637,0.77681,0.433685
86566.69437,-0.519684,0.80661,0.517303
86566.71964,-0.574982,0.851685,0.552933
86566.74489,-0.588852,0.887619,0.552216
86566.77014,-0.578384,0.907776,0.537277
86566.79541,-0.607651,0.98616,0.518204
86566.82066,-0.578293,1.114655,0.549469
86566.84593,-0.539108,1.049286,0.54921
86566.87118,-0.511154,0.956757,0.521667
86566.89642,-0.479004,1.032913,0.455841
86566.92169,-0.434311,1.21582,0.403961
86566.94693,-0.421783,1.242416,0.388306
86566.9722,-0.42186,1.198669,0.362488
86566.99745,-0.40004,1.19931,0.371307
86567.0227,-0.388657,1.178909,0.366333
86567.04797,-0.369583,1.145782,0.331512
86567.07322,-0.33345,1.106354,0.311874
86567.09849,-0.335281,1.023605,0.271042
86567.12374,-0.288116,0.962585,0.237305
86567.14899,-0.245682,0.86235,0.195053
86567.17426,-0.239532,0.784714,0.157715
86567.19951,-0.257767,0.723602,0.133499
86567.22478,-0.268112,0.665344,0.121872
86567.25003,-0.273819,0.599808,0.112656
86567.27528,-0.292999,0.563354,0.113602
86567.30055,-0.275131,0.535812,0.123444
86567.3258,-0.252899,0.55394,0.142883
86567.35107,-0.260406,0.618744,0.153214
86567.37632,-0.296844,0.68718,0.156464
86567.40156,-0.30304,0.711716,0.205765
86567.42683,-0.285217,0.752274,0.231384
86567.45208,-0.34024,1.008865,0.312012
86567.47735,-0.344894,1.070312,0.431778
86567.5026,-0.405792,1.136322,0.410904
86567.52785,-0.405777,1.206406,0.377213
86567.55312,-0.351776,1.02533,0.446579
86567.57837,-0.300766,0.936707,0.562317
86567.60364,-0.27359,1.068817,0.580261
86567.62889,-0.313416,1.160934,0.484207
86567.65414,-0.414291,1.179062,0.409103
86567.67942,-0.514755,1.130508,0.398956
86567.70466,-0.482422,1.007736,0.401154
86567.72993,-0.420395,0.917618,0.373322
86567.75518,-0.375824,0.874893,0.336227
86567.78043,-0.372482,0.846161,0.317505
86567.8057,-0.427872,0.81485,0.340897
86567.83095,-0.455002,0.799698,0.362411
86567.85622,-0.462204,0.782394,0.387436
86567.88147,-0.481171,0.743423,0.425323
86567.90671,-0.481628,0.72818,0.436523
86567.93199,-0.483475,0.759354,0.438309
86567.95723,-0.507339,0.812836,0.446396
86567.98251,-0.547958,0.859558,0.455185
