time (ms),x-accel,y-accel,z-accel
87172.97471,0.089584,-0.452866,-0.760818
87172.99998,0.197281,-0.435669,-0.743057
87173.02523,0.013107,-0.507172,-0.958878
87173.05048,0.049362,-0.430206,-0.977951
87173.07575,0.057037,-0.414062,-0.870483
87173.101,0.11615,-0.442169,-0.88562
87173.12627,0.097046,-0.450211,-0.92952
87173.15152,0.054718,-0.429794,-0.91568
87173.17677,0.059143,-0.45575,-0.881851
87173.20205,0.05278,-0.470474,-0.861206
87173.2273,0.060394,-0.473831,-0.879761
87173.25257,0.054413,-0.444199,-0.887756
87173.27782,0.057556,-0.428482,-0.919937
87173.30293,0.091263,-0.439606,-0.919281
87173.3282,0.10051,-0.452744,-0.913651
87173.35345,0.05896,-0.452469,-0.918884
87173.37872,0.058029,-0.3983,-0.894302
87173.40397,0.084808,-0.421967,-0.880722
87173.42922,0.079483,-0.427887,-0.89447
87173.45449,0.086548,-0.43985,-0.92244
87173.47974,0.02121,-0.49646,-0.888153
87173.50501,0.102509,-0.416077,-0.944733
87173.53026,0.107742,-0.44017,-0.931091
87173.55551,0.043167,-0.454041,-0.881927
87173.58078,-0.047089,-0.450989,-0.863449
87173.60603,-0.008667,-0.405869,-0.600327
87173.6313,-0.184143,-0.399094,-0.724747
87173.65656,-0.204865,-0.381042,-0.75592
87173.68181,-0.187729,-0.430176,-0.922607
87173.70708,-0.172714,-0.359589,-0.824234
87173.73234,-0.097137,-0.366882,-0.905624
87173.75762,-0.050201,-0.311798,-0.926483
87173.78286,-0.082489,-0.336655,-0.939987
87173.80811,-0.096588,-0.315689,-0.980072
87173.83338,-0.05368,-0.30899,-0.947998
87173.85864,0.012939,-0.280655,-0.899216
87173.88391,0.016068,-0.264343,-0.894623
87173.90916,-0.058029,-0.270523,-0.858444
87173.93441,-0.072601,-0.257721,-0.873932
87173.95969,-0.052307,-0.247925,-0.830399
87173.98494,-0.070282,-0.191055,-0.784424
87174.01021,0.000671,-0.020477,-0.783066
87174.03546,0.064499,0.008041,-0.467361
87174.06071,-0.169739,0.004181,-0.073563
87174.08598,-0.268417,0.125595,-0.054123
87174.11123,-0.321945,0.322754,0.033188
87174.1365,-0.400055,0.499847,0.157074
87174.16175,-0.536514,0.707718,0.136185
87174.187,-0.687241,0.898468,-0.160614
87174.21227,-0.904739,1.138168,-0.508667
87174.23753,-1.219406,1.248978,-0.916473
87174.2628,-1.653503,1.169189,-1.246887
87174.28805,-1.893112,0.954498,-1.100586
87174.3133,-1.75412,0.887131,-0.884964
87174.33858,-1.609024,0.861984,-0.681046
87174.36383,-1.546173,0.784286,-0.608139
87174.3891,-1.584244,0.633774,-0.51503
87174.41435,-1.598129,0.568542,-0.483719
87174.43961,-1.402359,0.532944,-0.341782
87174.46488,-1.222916,0.530472,-0.258942
87174.49013,-1.069046,0.571518,-0.29982
87174.5154,-1.040497,0.617874,-0.351547
87174.54065,-0.864105,0.658966,-0.246857
87174.5659,-0.817764,0.646286,-0.067245
87174.59118,-0.90358,0.64151,-0.10498
87174.61643,-0.911255,0.645569,-0.109421
87174.6417,-0.759125,0.778214,0.055267
87174.66695,-0.602097,0.840378,-0.082458
87174.6922,-0.669754,0.739746,-0.522766
87174.71748,-0.733276,0.677872,-0.653275
87174.74273,-0.883072,0.542053,-0.812408
87174.768,-0.872299,0.481232,-0.910767
87174.79326,-0.747391,0.463074,-0.874329
87174.81852,-0.559067,0.389053,-0.627991
87174.84379,-0.593292,0.420578,-0.31926
87174.86904,-0.731293,0.417984,-0.21051
87174.89432,-0.868439,0.294037,-0.416962
87174.91958,-0.557938,0.248535,-0.396042
87174.94483,-0.340195,0.320908,-0.411163
87174.97011,-0.657501,0.090912,-0.416519
87174.99536,-0.904877,0.021713,-0.02597
87175.02063,-0.843811,-0.05957,-0.003799
87175.04589,-0.747803,-0.007278,-0.016785
87175.07114,-0.808136,0.076935,-0.006165
87175.09642,-0.727386,0.232193,-0.070602
87175.12167,-0.787598,-0.065598,0.126923
87175.14695,-1.023239,0.053284,-0.134186
87175.1722,-1.263931,0.010193,-0.368851
87175.19746,-1.308655,0.102097,-0.473312
87175.22273,-1.178436,0.288864,-0.374191
87175.24799,-1.210052,0.492004,-0.255234
87175.27326,-1.180481,0.441406,-0.101379
87175.29851,-1.290894,0.119446,-0.145264
87175.32377,-1.481277,0.222946,-0.252441
87175.34904,-1.091019,0.071075,-0.387283
87175.3743,-0.730011,0.134216,-0.268494
87175.39957,-0.679565,0.01384,-0.286011
87175.42482,-0.484451,0.020309,-0.109741
87175.45007,-0.228577,0.317856,-0.101486
87175.47534,-0.392212,0.04216,-0.069809
87175.5006,-0.497574,0.143127,-0.088806
87175.52587,-0.633316,0.31398,-0.328033
87175.55112,-0.852844,0.111145,-0.275757
87175.57637,-0.877518,-0.142853,-0.03569
87175.60164,-1.086258,0.058182,0.289307
87175.6269,-2.051804,0.729294,0.0849
87175.65217,-0.895523,0.586716,0.477615
87175.67742,-0.839127,0.687134,0.337967
87175.70268,-0.906143,0.716293,0.196686
87175.72795,-0.774994,0.4729,0.258255
87175.7532,-0.849701,0.193649,0.122437
87175.77847,-0.691895,0.260559,0.217834
87175.80373,-0.444916,0.264481,0.113403
87175.82898,-0.564758,0.278275,0.100647
87175.85426,-0.651413,0.329422,-0.031281
87175.87951,-0.160461,0.391708,0.023163
87175.90479,0.050735,0.388062,-0.403137
87175.93005,0.055801,0.248398,-0.315826
87175.9553,0.107407,0.304123,0.062103
87175.98057,-0.456726,2.07309,-0.362213
87176.00583,-0.395737,5.875885,-1.17778
87176.03111,-1.072525,-1.574371,0.052841
87176.05636,-0.21904,1.043762,-0.631699
87176.08162,-0.081299,0.882629,-0.364014
87176.10689,0.032089,0.985779,-0.197174
87176.13214,-0.139038,0.988525,-0.019409
87176.15741,-0.192963,0.962524,-0.135269
87176.18267,-0.187637,0.979965,-0.222763
87176.20793,-0.233963,0.980301,-0.170334
87176.23321,-0.239853,0.965317,-0.181595
87176.25846,-0.169937,0.983505,-0.206543
87176.28373,-0.062164,0.965866,-0.06424
87176.30898,-0.097763,0.987427,-0.047058
87176.33424,-0.165359,0.973999,-0.038666
87176.35951,-0.224136,0.984024,-0.040085
87176.38477,-0.25351,0.970474,-0.037811
87176.41004,-0.257065,0.983932,-0.026993
87176.43529,-0.1987,1.039246,0.002792
87176.46054,-0.206192,1.06517,0.125656
87176.48582,-0.249557,0.970596,0.212372
87176.51107,-0.305481,0.950119,0.153381
87176.53634,-0.321304,0.913803,0.136246
87176.56159,-0.313522,0.90535,0.11795
87176.58684,-0.299438,0.910614,0.089966
87176.61211,-0.320847,0.910461,0.15274
87176.63736,-0.31044,0.859085,0.203384
87176.66264,-0.295898,0.789154,0.163956
87176.68789,-0.322678,0.791962,0.106781
87176.71314,-0.32457,0.800171,0.084137
87176.73842,-0.316528,0.789383,0.083267
87176.76367,-0.293198,0.80864,0.074905
87176.78894,-0.304565,0.912964,0.093658
87176.8142,-0.333572,1.058212,0.121887
87176.83945,-0.320084,1.110291,0.212921
87176.86472,-0.313858,1.133163,0.175537
87176.88997,-0.289032,1.058365,0.134857
87176.91524,-0.250244,0.93895,0.097092
87176.9405,-0.254608,0.843719,-0.011292
87176.96575,-0.30307,0.818161,-0.082443
87176.99101,-0.354584,0.866135,-0.107178
87177.01627,-0.387756,0.933487,-0.03627
87177.04154,-0.397476,0.937057,0.021622
87177.06679,-0.40155,0.912704,-0.037109
87177.09205,-0.42038,0.900909,-0.098495
87177.11732,-0.397522,0.881027,-0.085419
87177.14257,-0.36058,0.913483,-0.054871
87177.16784,-0.293701,0.96933,0.023666
87177.19309,-0.246719,1.003525,0.094315
87177.21835,-0.229782,1.048447,0.123627
87177.24362,-0.264465,1.02449,0.057007
87177.26887,-0.385834,0.915421,-0.10704
87177.29414,-0.429932,0.901367,-0.143921
87177.31939,-0.450516,0.871872,-0.130249
87177.34464,-0.384781,0.848343,-0.085983
87177.36991,-0.34433,0.8992,-0.047394
87177.39517,-0.343536,0.924332,-0.022263
87177.42044,-0.408966,0.919067,-0.029068
87177.4457,-0.406769,0.914841,-0.065887
87177.47095,-0.391739,0.901794,-0.048584
87177.49623,-0.403229,0.861435,-0.017761
87177.52148,-0.513153,0.847549,-0.058334
87177.54676,-0.57048,0.875153,-0.120438
87177.57201,-0.5504,0.879181,-0.119049
87177.59726,-0.495117,0.821121,-0.031403
87177.62254,-0.464828,0.786713,0.113876
87177.6478,-0.471283,0.901779,0.068192
87177.67307,-0.466461,0.896866,-0.015442
87177.69833,-0.493027,0.834473,-0.064896
87177.72358,-0.552277,0.792313,-0.051804
87177.74885,-0.567276,0.803543,-0.052002
87177.77411,-0.542923,0.826462,-0.017563
87177.79938,-0.466278,0.847092,0.028076
87177.82464,-0.409439,0.855377,0.028641
87177.84989,-0.431793,0.870255,-0.000656
87177.87517,-0.474823,0.863937,-0.007828
87177.90043,-0.494675,0.828415,0.013123
87177.9257,-0.527985,0.810913,-0.001114
87177.95096,-0.558182,0.827042,-0.017075
87177.97621,-0.541687,0.842438,-0.011612
87178.00149,-0.513611,0.841049,0.033203
87178.02674,-0.53009,0.829254,0.01651
87178.05201,-0.504211,0.833084,0.019394
87178.07726,-0.514114,0.851196,0.04747
87178.10252,-0.545868,0.8591,0.046173
87178.1278,-0.609665,0.793304,-0.004929
87178.15305,-0.660751,0.804398,-0.029327
87178.17833,-0.668365,0.815689,-0.020065
87178.20358,-0.697311,0.865219,-0.015259
87178.22883,-0.78299,0.931473,-0.019821
87178.2541,-0.783768,0.911636,0.002625
87178.2787,-0.769882,0.850983,-0.015869
87178.30399,-0.718781,0.806793,0.022125
87178.32924,-0.633606,0.777649,0.142609
87178.35449,-0.563065,0.85611,0.25592
87178.37976,-0.501877,0.999268,0.138397
87178.40502,-0.476486,1.076843,0.029434
87178.43029,-0.549545,1.022781,-0.199173
87178.45554,-0.687378,0.957382,-0.20726
87178.48079,-1.013718,0.821533,0.066086
87178.50607,-1.28656,0.597107,0.126633
87178.53132,-1.130707,0.504379,0.094025
87178.5566,-0.57666,0.679337,0.066788
87178.58185,-0.273712,0.669998,0.125656
87178.60711,-0.163528,0.645264,0.141403
87178.63238,-0.219528,0.611526,0.178268
87178.65764,-0.335373,0.567184,0.14888
87178.68291,-0.306595,0.518112,0.154678
87178.70816,-0.298538,0.498596,0.212265
87178.73341,-0.376907,0.461746,0.283524
87178.75869,-0.567581,0.458313,0.311447
87178.78394,-0.74823,0.508392,0.344772
87178.80922,-0.898895,0.568878,0.421631
87178.83447,-1.036316,0.673248,0.731903
87178.85973,-1.310226,0.753906,0.388092
87178.885,-1.223648,0.969406,0.475433
87178.91025,-1.225082,0.223236,0.586395
87178.93553,-0.610001,-0.003174,0.292801
87178.96078,-0.312119,0.962997,-0.053375
87178.98604,-0.34613,1.795319,-0.505554
87179.01131,-0.184494,1.89093,0.182373
87179.03656,-0.254944,0.790024,0.330444
87179.06183,-0.232742,0.50769,-0.181
87179.08709,-0.352356,0.594849,-0.377625
87179.11234,-0.676636,0.95871,-0.366196
87179.13761,-0.682663,1.013611,-0.174133
87179.16286,-0.41095,0.788589,-0.00531
87179.18814,-0.498596,0.772583,0.023254
87179.21339,-0.566299,0.834549,0.075226
87179.23864,-0.41478,0.799667,-0.015701
87179.26391,-0.57074,0.744659,-0.095932
87179.28917,-0.592239,0.669556,-0.097778
87179.31444,-0.618393,0.627426,-0.150848
87179.33969,-0.607391,0.602646,-0.096146
87179.36494,-0.62709,0.704865,-0.086258
87179.39021,-0.591446,0.717361,0.06044
87179.41546,-0.58107,0.740936,0.068008
87179.44073,-0.618973,0.652176,-0.070053
87179.46598,-0.636902,0.630234,-0.132263
87179.49123,-0.715073,0.642944,-0.120224
87179.51651,-0.8125,0.712555,-0.11731
87179.54176,-0.840698,0.707611,0.08725
87179.56703,-0.852539,0.699951,-0.01091
87179.59229,-0.853348,0.833603,-0.019928
87179.61754,-0.950134,0.937881,0.089172
87179.64281,-1.019684,0.906311,-0.057632
87179.66807,-0.885696,0.832657,0.033279
87179.69334,-0.701813,0.802124,-0.020538
87179.7186,-0.694702,1.07164,-0.045807
87179.74385,-0.556259,1.384308,-0.00676
87179.76912,-0.617691,1.530243,0.102249
87179.79438,-0.450058,0.855316,-0.249619
87179.81965,-0.77684,0.410812,-0.283875
87179.84491,-1.437866,0.25499,0.364914
87179.87016,-1.194901,0.434357,-0.147781
87179.89543,-0.614319,0.828812,-0.133484
87179.92069,-0.368958,0.846573,0.064865
87179.94596,-0.180374,0.721054,0.263107
87179.97121,-0.15448,0.490021,0.272461
87179.99645,-0.222122,0.389099,0.164383
87180.02173,-0.176422,0.400482,-0.04483
87180.04697,-0.106583,0.415878,0.15213
87180.07224,-0.242142,0.40062,0.260269
87180.0975,-0.535095,0.475204,0.342377
87180.12275,-0.721634,0.456497,0.631866
87180.14802,-1.16423,0.699631,0.846786
87180.17327,-1.773254,0.874115,0.36734
87180.19854,-1.857803,0.910248,0.646683
87180.22379,-0.949432,-0.266083,0.706512
87180.24905,-0.286942,-0.531403,0.488235
87180.27432,-0.210251,0.515732,-0.065201
87180.29957,-0.548126,1.725037,-0.655212
87180.32484,-0.489502,2.233612,-0.352646
87180.3501,-0.75853,1.907303,1.118378
87180.37535,-0.363022,0.548615,-0.010818
87180.40062,-0.228851,0.221832,-0.633438
87180.42587,-0.446213,0.478439,-0.471405
87180.45114,-0.556961,0.812088,-0.264816
87180.4764,-0.552277,1.088058,0.041748
87180.50165,-0.440872,0.954895,0.025787
87180.52692,-0.568146,0.794403,0.150467
87180.55216,-0.397324,0.787704,-0.177307
87180.57744,-0.475342,0.643082,0.1129
87180.60269,-0.661316,0.733597,-0.157898
87180.62794,-0.67865,0.700989,-0.144806
87180.65321,-0.62442,0.551666,0.029831
87180.67846,-0.649475,0.579407,0.0065
87180.70373,-0.671295,0.602509,0.056839
87180.72899,-0.691132,0.595978,-0.016968
87180.75424,-0.581421,0.590576,-0.009537
87180.77951,-0.683273,0.604202,-0.021057
87180.80476,-0.858231,0.656799,-0.176544
87180.83003,-0.925308,0.690002,-0.111359
87180.85528,-0.893021,0.874954,0.31839
87180.88053,-1.080719,0.881775,-0.036972
87180.90581,-1.111649,0.731262,-0.17662
87180.93106,-0.938095,0.727158,-0.166962
87180.95634,-0.836487,1.011658,0.092667
87180.98159,-0.943695,1.333191,-0.082901
87181.00685,-0.684174,1.768402,0.167282
87181.03212,-0.489197,1.65152,0.033981
87181.05737,-0.332214,0.545654,-0.526276
87181.08265,-0.819809,0.142822,-0.138245
87181.1079,-1.302444,0.291138,0.267029
87181.13315,-1.037476,0.364716,-0.201019
87181.15843,-0.758362,0.778839,-0.187378
87181.18368,-0.447952,0.814865,0.025558
87181.20894,-0.053757,0.767609,0.269638
87181.23419,0.169113,0.468903,0.265976
87181.25946,-0.041107,0.329132,0.051147
87181.28473,-0.203827,0.384796,0.161255
87181.30998,-0.371216,0.384399,0.30571
87181.33525,-0.517914,0.380981,0.34108
87181.3605,-0.695206,0.517395,0.424255
87181.38576,-1.083023,0.708878,0.871307
87181.41103,-2.271973,0.897873,0.61972
87181.43628,-1.465668,0.809052,0.264359
87181.46155,-0.6073,-0.162903,0.680695
87181.4868,-0.105057,-0.420761,0.216293
87181.51205,-0.447983,1.261581,-0.627991
87181.53733,-0.534515,2.691177,-0.49884
87181.56258,-0.193878,1.914917,0.664169
87181.58785,-0.666672,0.529877,0.335861
87181.6131,-0.304153,0.179565,-0.797821
87181.63835,-0.413132,0.688141,-0.530792
87181.66363,-0.670258,1.291977,0.25
87181.68888,-0.737671,1.083252,-0.197388
87181.71415,-0.568817,0.714737,-0.193237
87181.73939,-0.314423,0.547394,-0.000534
87181.76465,-0.383087,0.781433,-0.13681
87181.78992,-0.422775,0.921844,-0.080673
87181.81516,-0.487091,0.783325,-0.178513
87181.84043,-0.701477,0.528412,-0.067734
87181.86568,-0.771194,0.56636,0.196991
87181.89093,-0.741302,0.525543,0.136337
87181.9162,-0.736511,0.521713,-0.173782
87181.94146,-0.64978,0.556442,-0.124374
87181.96673,-0.79509,0.555786,-0.160172
87181.99198,-0.846771,0.548157,-0.148651
87182.01723,-0.828995,0.626785,-0.164871
87182.0425,-0.811127,0.744919,-0.118301
87182.06776,-0.664352,1.005524,0.888397
87182.09303,-1.115372,0.802277,0.061218
87182.11828,-1.10408,0.626709,-0.079269
87182.14353,-0.826889,0.656448,-0.128937
87182.16881,-0.787781,0.860107,-0.127502
87182.19406,-0.991379,1.13446,-0.21106
87182.21933,-0.974716,1.777145,0.065155
87182.24459,-0.688446,2.195251,0.347931
87182.26984,-0.270905,1.130386,-0.189163
87182.29511,-0.279449,0.244537,-0.573746
87182.32037,-1.385147,0.10289,0.655731
87182.34564,-1.547592,0.272766,-0.159439
87182.37089,-0.769485,0.70314,-0.207352
87182.39615,-0.434082,0.70282,-0.222672
87182.42142,0.045486,0.662201,0.259521
87182.44667,0.336243,0.60643,0.397156
87182.47195,0.270584,0.350525,0.185715
87182.4972,-0.071533,0.386963,0.169113
87182.52246,-0.312531,0.395004,0.284714
87182.54773,-0.556732,0.368042,0.287415
87182.57298,-0.655197,0.468597,0.234772
87182.59826,-0.89537,0.736786,0.540558
87182.62351,-1.481964,1.085495,1.025467
87182.64876,-1.90889,0.901047,0.29805
87182.67404,-1.24054,0.367447,0.705093
87182.6993,-0.578308,-0.098434,0.38858
87182.72457,-0.254379,0.798538,-0.018127
87182.74982,-0.531281,2.193832,-0.168533
87182.77508,-0.310013,2.298035,0.497299
87182.80036,-0.312164,0.5923,-0.86586
87182.82561,-0.425552,0.283539,-0.489838
87182.85088,-0.633301,0.358673,-0.23317
87182.87614,-0.622955,0.710678,0.039642
87182.9014,-0.538376,0.965057,-0.206238
87182.92667,-0.492111,0.934464,-0.280396
87182.95192,-0.219315,0.88208,0.074417
87182.97719,-0.425079,0.787033,0.787811
87183.00245,-0.847336,0.670853,-0.172455
87183.0277,-0.799255,0.513931,-0.211365
87183.05297,-0.768463,0.351593,-0.168747
87183.07822,-0.704147,0.448975,-0.042221
87183.10349,-0.759583,0.604446,0.042496
87183.12874,-0.818787,0.570419,-0.077682
87183.15399,-0.812866,0.632156,-0.079071
87183.17927,-0.877853,0.728149,-0.05127
87183.20452,-0.846848,0.592056,-0.07402
87183.22979,-0.970383,0.516205,-0.224976
87183.25505,-1.125,0.551895,-0.174484
87183.28016,-1.332336,0.698761,0.200745
87183.30543,-1.032837,0.697495,0.119431
87183.33068,-0.805771,0.77388,0.096939
87183.35596,-0.66301,0.848526,0.020584
87183.38121,-0.735992,1.029755,-0.013428
87183.40646,-0.778641,1.306976,-0.184341
87183.43173,-0.89444,1.985504,0.092148
87183.45698,-0.731247,1.123993,-0.105576
87183.48226,-0.942459,0.636734,-0.072723
87183.50751,-1.563156,0.288849,0.252548
87183.53277,-0.762665,0.422455,-0.058823
87183.55804,-0.303009,0.699631,-0.10199
87183.58329,-0.090637,0.612045,0.000076
87183.60856,-0.034348,0.415161,0.202927
87183.63381,-0.046234,0.279022,0.211609
87183.65907,0.059219,0.247009,0.205429
87183.68433,0.027435,0.227203,0.253342
87183.70958,-0.089066,0.227203,0.336823
87183.73487,-0.310486,0.249893,0.350113
87183.76012,-0.898148,0.515076,0.32312
87183.78538,-1.83432,1.004272,1.344193
87183.81065,-2.532379,1.180008,0.858887
87183.8359,-1.256012,0.585831,0.510406
87183.86118,-0.436371,0.233414,0.329666
87183.88643,-0.047226,1.077576,-0.070328
87183.91168,-0.078598,2.360931,0.07457
87183.93696,-0.17598,1.562027,0.135193
